#ANGLE(RAD)  SIGMA
1.7453E-03   3.5578E+02
2.1972E-03   2.4618E+02
2.7662E-03   1.7035E+02
3.4824E-03   1.1899E+02
4.3841E-03   8.2607E+01
5.5192E-03   5.6694E+01
6.9483E-03   3.8278E+01
8.7474E-03   2.5691E+01
1.1012E-02   1.7245E+01
1.3864E-02   1.1566E+01
1.7453E-02   7.7116E+00
2.1972E-02   5.1122E+00
2.7662E-02   3.3694E+00
3.4824E-02   2.2007E+00
4.3841E-02   1.4291E+00
5.5192E-02   9.2474E-01
6.9483E-02   5.9622E-01
8.7473E-02   3.8303E-01
1.1012E-01   2.4316E-01
1.3864E-01   1.5421E-01
1.7453E-01   9.9396E-02
2.6180E-01   4.7716E-02
3.4907E-01   2.6227E-02
4.3633E-01   1.5466E-02
5.2360E-01   9.7519E-03
6.1086E-01   6.6915E-03
6.9813E-01   4.6734E-03
7.8540E-01   3.2513E-03
8.7266E-01   2.3972E-03
9.5993E-01   1.8570E-03
1.0472E+00   1.4785E-03
1.1345E+00   1.2073E-03
1.2217E+00   9.9904E-04
1.3090E+00   8.3229E-04
1.3963E+00   7.0735E-04
1.4835E+00   6.0370E-04
1.5708E+00   5.3652E-04
1.6581E+00   4.9430E-04
1.7453E+00   4.6757E-04
1.8326E+00   4.5696E-04
1.9199E+00   4.4657E-04
2.0071E+00   4.3223E-04
2.0944E+00   4.2656E-04
2.1817E+00   4.3290E-04
2.2689E+00   4.3649E-04
2.3562E+00   4.2956E-04
2.4435E+00   4.3638E-04
2.5307E+00   4.5911E-04
2.6180E+00   4.8909E-04
2.7053E+00   5.2124E-04
2.7925E+00   5.7340E-04
2.8798E+00   6.4918E-04
2.9671E+00   7.5441E-04
3.0543E+00   7.8458E-04
3.1416E+00   8.1475E-04
