#ANGLE(RAD)  SIGMA
1.7453E-03   2.6897E+03
2.1972E-03   2.0184E+03
2.7662E-03   1.5137E+03
3.4824E-03   1.1434E+03
4.3841E-03   8.5880E+02
5.5192E-03   6.3858E+02
6.9483E-03   4.7132E+02
8.7474E-03   3.4338E+02
1.1012E-02   2.4613E+02
1.3864E-02   1.7368E+02
1.7453E-02   1.2098E+02
2.1972E-02   8.3195E+01
2.7662E-02   5.6477E+01
3.4824E-02   3.7376E+01
4.3841E-02   2.4419E+01
5.5192E-02   1.5884E+01
6.9483E-02   1.0287E+01
8.7473E-02   6.6334E+00
1.1012E-01   4.2564E+00
1.3864E-01   2.7197E+00
1.7453E-01   1.7321E+00
2.6180E-01   7.7653E-01
3.4907E-01   3.9389E-01
4.3633E-01   2.4745E-01
5.2360E-01   1.3752E-01
6.1086E-01   9.6166E-02
6.9813E-01   6.8674E-02
7.8540E-01   4.9829E-02
8.7266E-01   3.7004E-02
9.5993E-01   2.7820E-02
1.0472E+00   2.1594E-02
1.1345E+00   1.7224E-02
1.2217E+00   1.4017E-02
1.3090E+00   1.1579E-02
1.3963E+00   9.7490E-03
1.4835E+00   8.3435E-03
1.5708E+00   7.2413E-03
1.6581E+00   6.3288E-03
1.7453E+00   5.6499E-03
1.8326E+00   5.1132E-03
1.9199E+00   4.7480E-03
2.0071E+00   4.5331E-03
2.0944E+00   4.3681E-03
2.1817E+00   4.2661E-03
2.2689E+00   4.1531E-03
2.3562E+00   3.9648E-03
2.4435E+00   3.9046E-03
2.5307E+00   3.9665E-03
2.6180E+00   4.1061E-03
2.7053E+00   4.2909E-03
2.7925E+00   4.6227E-03
2.8798E+00   5.1195E-03
2.9671E+00   5.8137E-03
3.0543E+00   6.0122E-03
3.1416E+00   6.2107E-03
